SAMPLEID,PROJECTCOD,SAMPLETYPE,X,Y,Z,ZONE,AnomalyID,StmNo,As_40PNB_p,Co_40PNB_p,Cu_40PNB_p,Cu_40U6D_p,Ni_40PNB_p,Pb_40PNB_p,Sn_40ZZZ_p,Zn_40PNB_p,DLAT_2020,DLONG_2020
PM401965,KIMBERLEY,STMSD,293994,7933473,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.04
PM401966,KIMBERLEY,STMSD,294552,7933509,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.05
PM401967,KIMBERLEY,STMSD,295294,7933585,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.06
PM401968,KIMBERLEY,STMSD,295263,7933276,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.68,127.05
PM401969,KIMBERLEY,STMSD,295601,7933199,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.68,127.06
PM401970,KIMBERLEY,STMSD,296116,7933565,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.06
PM401971,KIMBERLEY,STMSD,296536,7933897,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.07
PM401972,KIMBERLEY,STMSD,296528,7934156,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.07
PM402173,KIMBERLEY,STMSD,363992,7910025,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.89,127.7
PM402175,KIMBERLEY,STMSD,363763,7909990,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.89,127.7
PM402177,KIMBERLEY,STMSD,363901,7909738,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.89,127.7
PM402179,KIMBERLEY,STMSD,364244,7909123,0,AMG84-52,,0,-9999,-9999,10,80,-10,50,-9999,-10,-18.9,127.71
PM402181,KIMBERLEY,STMSD,364631,7908506,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.9,127.71
PM402183,KIMBERLEY,STMSD,364933,7907628,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.91,127.71
PM402185,KIMBERLEY,STMSD,365403,7906955,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.92,127.72
PM402187,KIMBERLEY,STMSD,365537,7906319,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.92,127.72
PM402189,KIMBERLEY,STMSD,365720,7905657,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.93,127.72
PM402191,KIMBERLEY,STMSD,365724,7904800,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.94,127.72
PM402193,KIMBERLEY,STMSD,365824,7904021,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.95,127.72
PM402195,KIMBERLEY,STMSD,366119,7903277,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.95,127.72
PM402197,KIMBERLEY,STMSD,366386,7902579,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.96,127.73
PM402199,KIMBERLEY,STMSD,367743,7902449,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.96,127.74
PM402201,KIMBERLEY,STMSD,368621,7902643,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.96,127.75
PM402203,KIMBERLEY,STMSD,369391,7902466,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.96,127.76
PM402205,KIMBERLEY,STMSD,365023,7922763,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.78,127.72
PM402207,KIMBERLEY,STMSD,365738,7923400,0,AMG84-52,,0,-9999,-9999,10,80,-10,50,-9999,-10,-18.77,127.72
PM402209,KIMBERLEY,STMSD,366474,7923667,0,AMG84-52,,0,-9999,-9999,10,80,-10,200,-9999,-10,-18.77,127.73
PM402211,KIMBERLEY,STMSD,367275,7924132,0,AMG84-52,,0,-9999,-9999,10,80,-10,175,-9999,-10,-18.76,127.74
PM402213,KIMBERLEY,STMSD,364414,7922219,0,AMG84-52,,0,-9999,-9999,10,80,-10,125,-9999,-10,-18.78,127.71
PM402215,KIMBERLEY,STMSD,363891,7921718,0,AMG84-52,,0,-9999,-9999,10,80,-10,100,-9999,-10,-18.79,127.7
